,grayscale_ent,grayscale_ent_devN2,grayscale_std,grayscale_std_devN2,grayscale_skew,grayscale_skew_devN2,saturation_ent,saturation_ent_devN2,saturation_std,saturation_std_devN2,saturation_skew,saturation_skew_devN2,labels,file_names
0,5.261650299,2.568671716,10.74993537,14.96979866,0.643676908,1.359966985,4.387441839,0.369516221,5.146367887,1.282870873,-0.481769499,1.038391628,0,_PBD_1_120sp_x100_2 [Published].jpg
1,4.345196089,1.610537892,5.196650253,4.973318199,0.602380609,1.391951365,4.096751816,0.565900121,4.159462091,1.513714864,-0.234047075,0.446198225,0,_PBD_1_120sp_x10_1 [Published].jpg
2,4.948776716,2.238595641,8.32030576,10.55738262,0.540103744,1.144067075,3.920245324,0.300242661,3.674806277,0.761679202,0.14456205,0.405025859,0,_PBD_1_160sp_x10_1 [Published].jpg
3,4.571166897,1.916213789,6.145754321,6.724259027,0.542779544,1.375444313,3.906038309,0.472796919,3.647591263,1.1015891,-0.242135731,0.584951967,0,_PBD_1_80sp_x10_1 [Published].jpg
5,5.716949683,0.702207874,17.15739007,7.270256832,2.255541715,0.261731793,6.338402819,0.236571086,19.82620432,3.344070814,0.161557308,0.180096332,1,_PBD_1_120sp_2h80C_x10_1 [Published].jpg
6,5.299215098,1.247322362,16.78582089,10.08529933,3.298902922,3.389744565,5.901811017,0.683987002,15.82009035,8.219242235,0.827802989,0.933616833,1,_PBD_1_120sp_2h80C_x10_2 [Published].jpg
7,5.147339101,0.778560213,11.95266807,6.479337565,3.373956198,2.457707421,5.902775273,0.43627036,14.69866352,4.797587078,0.401468527,0.316304904,1,_PBD_1_120sp_30min100C_x10_1 [Published].jpg
8,6.231282179,1.353755134,21.21993612,14.95831908,1.362902886,1.891067807,6.044720897,1.54024953,16.6051205,12.3838907,0.046466278,2.493525004,1,_PBD_1_160sp_19h80C_x10_3 [Published].jpg
9,6.686267551,0.64713735,25.91612797,10.48124482,0.338708903,0.324831139,6.356424436,0.473542935,21.44406821,4.720151262,0.108663734,0.933866055,1,_PBD_1_160sp_2h100C_x10_3 [Published].jpg
10,5.89274153,0.622774024,16.8950398,8.25374936,1.164189882,0.997976909,5.41927488,1.056250481,12.41631384,5.759374379,-0.491115247,1.742568316,1,_PBD_1_160sp_2h80C_x10_3 [Published].jpg
11,5.116651478,0.858085886,11.12242748,5.732776075,2.360693288,3.013401844,4.933236173,1.064582979,8.383442933,4.785024946,1.436685152,4.497557087,1,_PBD_1_160sp_30m80C_x10_3 [Published].jpg
12,5.278535107,1.444349226,11.64830624,9.374797,1.657098718,2.964427237,4.854546307,1.213624559,7.897155094,5.118241572,1.334169346,4.517800296,1,_PBD_1_160sp_30m80C_x10_4 [Published].jpg
13,5.763634995,1.277686946,16.46787696,11.06346836,1.752514803,1.730764872,5.827142052,0.269508216,13.9693461,2.983528655,0.358064116,0.560011562,1,_PBD_1_160sp_6h100C_x10_1 [Published].jpg
14,5.921405616,0.683414836,18.12228193,8.133810131,1.192787314,1.447392152,5.683212142,0.767508263,13.00418037,7.096675721,0.750411836,0.714651947,1,_PBD_1_160sp_6h100C_x10_3 [Published].jpg
15,5.975613845,0.982387711,17.60851998,13.72423745,1.409760007,1.786362974,5.168543758,0.595960115,12.83561418,3.942878135,-2.629663577,1.027700783,1,_PBD_1_80sp_2h80C_x10_1 [Published].jpg
16,6.331427246,1.597659212,26.17600395,30.15602352,1.5855089,1.266585698,6.372051882,0.357653695,21.04095539,6.718357156,0.207044065,0.404923386,2,_PBD_1_120sp_20m100C_x10_4 [Published].jpg
17,6.840114673,0.939932475,35.25517474,17.28849677,0.640368998,1.556532462,6.5195234,0.243221849,23.99694494,4.421811808,-0.012993283,0.364167102,2,_PBD_1_120sp_2h100C_x10_3 [Published].jpg
18,6.391571078,1.034278426,24.36835481,14.02843093,1.102961646,0.715471433,6.462085995,0.162271006,23.20372624,3.602949586,-0.039988973,0.361026832,2,_PBD_1_120sp_2h100C_x10_4 [Published].jpg
19,6.529430551,0.830649616,24.03887084,14.14715178,0.70639407,0.639511196,6.408581509,0.354336119,21.54748845,4.044542144,0.187035415,0.537596072,2,_PBD_1_160sp_2h100C_x10_2 [Published].jpg
20,6.714303079,0.588212715,27.34909022,11.35938774,0.44596586,0.625613157,6.430102738,0.641104184,24.36391083,11.50940726,0.747175458,1.089091909,2,_PBD_1_160sp_30min100C_x10_3 [Published].jpg
21,6.620207922,1.23268605,33.12981701,11.19064756,1.077036284,1.428927371,6.069984621,0.400548202,17.20841032,3.962249707,0.293054236,0.626737235,2,_PBD_1_80sp_10m100C_x10_3 [Published].jpg
22,6.625767329,1.051035857,29.05150928,15.63500183,0.90047106,0.915362464,6.016392968,0.398756585,17.17229421,3.724067865,-0.111014202,0.622720889,2,_PBD_1_80sp_10m100C_x10_4 [Published].jpg
23,6.665904225,1.319607165,30.26435385,32.49313828,1.080761729,2.196158208,5.922397442,0.634108227,17.02277358,6.53047088,-1.104239998,1.629655722,2,_PBD_1_80sp_19h80C_30m125C_x10_4 [Published].jpg
24,6.784511121,0.681756899,29.59323623,7.404325463,0.428574388,0.998045694,6.183461443,0.258678681,19.99319286,2.414294056,-0.822858842,0.731285768,2,_PBD_1_80sp_19h80C_30m125C_x10_5 [Published].jpg
25,6.323891253,0.473990777,23.72387156,11.90718494,1.643101933,1.430491801,5.71539108,0.500578422,16.91154429,5.710171244,-1.750234872,0.790929726,2,_PBD_1_80sp_20m100C_x10_2 [Published].jpg
26,6.411811715,1.068390803,27.41448995,20.88493875,1.258938053,1.296426201,5.823983179,0.834382844,18.71061666,8.758920369,-1.366798388,1.841228288,2,_PBD_1_80sp_20m100C_x10_3 [Published].jpg
27,5.426415484,1.251028558,17.72173755,12.99300689,3.06138173,2.670212267,5.18249501,0.818320775,10.54742466,4.883806566,-1.294373373,1.533559256,2,_PBD_1_80sp_2m100C_x10_1 [Published].jpg
28,5.376246237,1.130748409,18.29993614,13.61224815,3.064835432,2.489030352,5.128321869,0.659742681,10.82605324,5.365387505,-1.625145389,1.524548928,2,_PBD_1_80sp_2m100C_x10_2 [Published].jpg
29,5.608504316,1.754347082,20.13386944,25.97871701,2.579281483,3.437237395,5.341994551,0.829201708,12.07145656,9.391375125,-1.399651854,1.171900626,2,_PBD_1_80sp_2m100C_x10_3 [Published].jpg
30,5.818302632,1.835120688,21.23119765,23.40808995,2.514481121,2.945250796,5.49423597,1.012772767,12.19325596,8.493283235,-0.76853331,1.143641876,2,_PBD_1_80sp_3m100C_x10_1 [Published].jpg
31,5.843757039,1.538707352,23.6286149,23.19534755,2.320343761,2.285302802,5.421481214,0.830614663,12.70373929,9.378488024,-1.118740053,0.710777948,2,_PBD_1_80sp_3m100C_x10_2 [Published].jpg
32,6.323445405,1.397146072,30.24137381,18.62098449,1.363711125,1.755827313,5.950233843,0.459510696,16.2914824,4.571424713,-0.185393242,0.696675446,2,_PBD_1_80sp_3m100C_x10_3 [Published].jpg
33,5.878039743,2.039290088,31.22020149,30.40748366,1.723817101,3.264858317,5.790351223,1.14157177,15.87502191,10.09977126,-0.623488004,1.594369045,2,_PBD_1_80sp_3m100C_x10_4 [Published].jpg
34,5.429005266,1.276620083,20.28906543,17.55945768,2.338304954,1.457251524,5.229730805,0.924365881,13.43169989,7.186881974,-1.598883418,1.716483167,2,_PBD_1_80sp_5m100C_x10_1 [Published].jpg
35,5.308554189,1.47431112,22.00261745,23.60430831,2.768618968,2.402065713,4.989548804,0.536704572,12.5914119,8.525211781,-2.103091314,1.360251932,2,_PBD_1_80sp_5m100C_x10_2 [Published].jpg
36,5.620056728,1.252555396,24.64144535,13.52918243,1.896602102,2.352221824,5.26379705,0.81366857,15.13115638,7.12272668,-1.568880936,1.201208349,2,_PBD_1_80sp_5m100C_x10_3 [Published].jpg
37,5.334649729,1.058804761,19.28481442,12.78064434,2.514702772,1.583807126,5.142693547,0.692445401,13.13361195,6.54341481,-1.8778379,1.496065049,2,_PBD_1_80sp_5m100C_x10_4 [Published].jpg
38,6.536755603,1.643827645,32.79806811,34.07608462,1.243467664,2.283099532,6.41301436,0.338301543,22.0406767,5.731955898,0.202783332,0.313725697,2,_PBD_1_=120sp_1h100C_x10_1 [Published].jpg
39,6.651884861,1.430538863,35.96788272,26.4729225,0.910266878,2.552121713,6.414541844,0.332278787,22.21995753,5.4886708,0.242770264,0.522423862,2,_PBD_1_=120sp_1h100C_x10_2 [Published].jpg
40,6.701553002,1.781858891,34.52544258,30.40012459,0.904078185,1.708974162,6.410438704,0.324059733,22.45594387,5.524125118,0.213722293,0.548962899,2,_PBD_1_=120sp_1h100C_x10_3 [Published].jpg
41,6.767765815,1.303285864,31.00416844,15.24185684,-0.077135418,1.24059344,6.356941047,0.841315827,32.11255985,4.224299425,0.11298018,1.611573675,3,_PBD_1_120sp_10m100C_x10_2 [Published].jpg
42,6.760361938,1.038636526,27.76411887,13.81150657,-0.100597165,0.759071823,6.608289212,0.308348131,29.19717094,5.566519419,0.164369192,0.933267172,3,_PBD_1_120sp_10m100C_x10_3 [Published].jpg
43,6.701128221,1.729404189,30.10945969,22.29873993,0.519936478,2.451459683,6.537596127,0.193551393,23.49553641,2.735442762,-0.121104853,0.464604828,3,_PBD_1_120sp_2h100C_x10_1 [Published].jpg
44,6.674676608,2.092268877,33.09316647,24.69137043,-0.727571759,2.050828561,6.005174608,1.517674218,19.47110732,10.30150153,0.385823523,1.190963856,3,_PBD_1_120sp_2h100C_x10_2 [Published].jpg
